energy_carb,energy_protein,energy_fibre,energy_fat,h_nutrients_calories
68.66934718,20.25766618,3.147881522,77.07306154,1.568250411
67.50227287,21.07842154,3.172851025,78.73657296,1.58061797
63.0837409,21.34700652,3.146347259,74.7929977,1.616300762
65.95976055,20.74758948,3.138496667,72.8238688,1.597682365
64.47048772,20.35834528,2.838509205,75.11194533,1.599579642
60.54316849,21.18077775,2.953319351,71.51491475,1.619291975
65.00727384,20.99015266,2.854610045,76.00709885,1.606873402
65.82706822,20.82484962,3.02976042,76.03387874,1.601653726
67.66874498,21.62675232,3.034592395,78.46800197,1.586233599
62.34565903,21.79743267,3.087257312,74.48270465,1.616566856
63.4720715,20.99197395,3.019561281,75.06680652,1.607111033
66.49480379,22.97889368,3.270170344,79.5293583,1.601602135
64.45123377,21.23658896,2.937411246,75.24304266,1.597653898
67.3350197,22.15900376,3.207625775,78.95011683,1.594973531
66.42858596,21.82769698,3.000901484,78.11568707,1.597537012
66.65737349,21.65697756,3.139981297,78.68307793,1.589367993
62.54027219,21.65697554,2.973063639,74.50945156,1.610538152
64.0912378,20.53629075,2.897585194,74.64236392,1.605840235
65.86039047,21.73148276,3.030694651,77.68741758,1.594592668
71.49627959,20.25283728,3.133633972,75.10924464,1.625963519
78.35914397,21.36618677,3.781809339,75.80749027,1.580265444
76.32109554,19.5995083,3.183308173,78.75475523,1.579669561
72.3960368,20.66081623,3.384052843,74.56585987,1.582161994
78.97730328,20.67828158,3.002228839,81.31919183,1.546632097
78.36664636,20.60521151,3.064906937,86.16256447,1.536811404
67.70023346,23.32982768,4.003168427,90.48011673,1.577063696
74.06377863,21.26232706,3.290859605,80.83181901,1.571580416
65.8069898,21.30625,3.526913265,76.49684311,1.598798615
68.54536716,22.41246106,3.04753004,86.37436582,1.576853569
74.01996161,21.06845489,2.975047985,81.22806622,1.571570623
65.1795604,20.70914898,2.824948337,75.03651512,1.588647536
71.53433324,21.75921462,3.411562585,73.94627761,1.605514835
70.14869364,21.84028902,3.450809249,78.40066474,1.594898199
70.35975017,20.43783484,2.928244275,79.88920888,1.577990016
72.17293169,19.61612219,3.513279593,74.12494697,1.56592752
65.12919764,21.31935422,3.013421337,73.46757041,1.606196957
66.78351231,21.53783388,2.972766084,75.48160949,1.600113104
60.6586189,22.2377674,3.13420018,75.4246048,1.625267759
65.44840018,20.47840532,2.975155591,73.45567674,1.606955002
70.15202491,20.82354154,2.859923129,76.41505717,1.57214272
66.5021447,21.64002339,2.921443313,73.89888744,1.606728057
68.06740954,20.59112393,2.996726399,75.67767034,1.584720018
66.42834554,20.9852366,2.915130278,77.82315522,1.589023894
67.89920281,20.70034484,2.841282722,75.48441903,1.587153423
67.65708897,21.11911838,2.964247059,75.85130879,1.590035307
64.89687705,21.95273186,2.987246723,75.2556016,1.605770512
65.13457458,22.00131471,2.949782771,75.71886985,1.602152665
63.84163282,21.30135821,2.998186805,75.30291391,1.604002599
66.2353008,21.16814421,2.945288463,74.474149,1.5963783
67.0219301,21.38344341,2.950176074,76.94114305,1.593682076
70.10413734,20.62121789,2.988248219,76.2688729,1.578233747
66.44013818,21.4604814,3.013468239,75.6449379,1.599062674
67.55533671,21.5226054,2.933043243,76.68390699,1.593134452
65.58813027,21.10555293,2.993020316,75.81693577,1.608265939
67.89244341,21.08879625,2.906075454,75.83386324,1.589522079
67.89503565,21.33712049,2.881332003,75.2804655,1.584250722
74.18255893,20.91191959,2.758284867,77.37412482,1.565527147
